,Starting Balance,Principal Paid,Interest Paid,Ending Balance
204,"$131,759.63 ",$698.24 ,$301.95 ,"$131,061.39 "
205,"$131,061.39 ",$699.84 ,$300.35 ,"$130,361.55 "
206,"$130,361.55 ",$701.44 ,$298.75 ,"$129,660.11 "
207,"$129,660.11 ",$703.05 ,$297.14 ,"$128,957.06 "
208,"$128,957.06 ",$704.66 ,$295.53 ,"$128,252.39 "
209,"$128,252.39 ",$706.28 ,$293.91 ,"$127,546.11 "
210,"$127,546.11 ",$707.90 ,$292.29 ,"$126,838.22 "
211,"$126,838.22 ",$709.52 ,$290.67 ,"$126,128.70 "
212,"$126,128.70 ",$711.15 ,$289.04 ,"$125,417.55 "
213,"$125,417.55 ",$712.77 ,$287.42 ,"$124,704.78 "
214,"$124,704.78 ",$714.41 ,$285.78 ,"$123,990.37 "
215,"$123,990.37 ",$716.05 ,$284.14 ,"$123,274.32 "
216,"$123,274.32 ",$717.69 ,$282.50 ,"$122,556.64 "
217,"$122,556.64 ",$719.33 ,$280.86 ,"$121,837.31 "
218,"$121,837.31 ",$720.98 ,$279.21 ,"$121,116.33 "
219,"$121,116.33 ",$722.63 ,$277.56 ,"$120,393.70 "
220,"$120,393.70 ",$724.29 ,$275.90 ,"$119,669.41 "
221,"$119,669.41 ",$725.95 ,$274.24 ,"$118,943.46 "
222,"$118,943.46 ",$727.61 ,$272.58 ,"$118,215.85 "
223,"$118,215.85 ",$729.28 ,$270.91 ,"$117,486.57 "
224,"$117,486.57 ",$730.95 ,$269.24 ,"$116,755.62 "
225,"$116,755.62 ",$732.63 ,$267.56 ,"$116,023.00 "
226,"$116,023.00 ",$734.30 ,$265.89 ,"$115,288.69 "
227,"$115,288.69 ",$735.99 ,$264.20 ,"$114,552.70 "
228,"$114,552.70 ",$737.67 ,$262.52 ,"$113,815.03 "
229,"$113,815.03 ",$739.36 ,$260.83 ,"$113,075.67 "
230,"$113,075.67 ",$741.06 ,$259.13 ,"$112,334.61 "
231,"$112,334.61 ",$742.76 ,$257.43 ,"$111,591.85 "
232,"$111,591.85 ",$744.46 ,$255.73 ,"$110,847.39 "
233,"$110,847.39 ",$746.16 ,$254.03 ,"$110,101.23 "
234,"$110,101.23 ",$747.87 ,$252.32 ,"$109,353.35 "
235,"$109,353.35 ",$749.59 ,$250.60 ,"$108,603.77 "
236,"$108,603.77 ",$751.31 ,$248.88 ,"$107,852.46 "
237,"$107,852.46 ",$753.03 ,$247.16 ,"$107,099.43 "
238,"$107,099.43 ",$754.75 ,$245.44 ,"$106,344.68 "
239,"$106,344.68 ",$756.48 ,$243.71 ,"$105,588.19 "
240,"$105,588.19 ",$758.22 ,$241.97 ,"$104,829.98 "
241,"$104,829.98 ",$759.95 ,$240.24 ,"$104,070.02 "
242,"$104,070.02 ",$761.70 ,$238.49 ,"$103,308.33 "
243,"$103,308.33 ",$763.44 ,$236.75 ,"$102,544.88 "
244,"$102,544.88 ",$765.19 ,$235.00 ,"$101,779.69 "
245,"$101,779.69 ",$766.94 ,$233.25 ,"$101,012.75 "
246,"$101,012.75 ",$768.70 ,$231.49 ,"$100,244.05 "
247,"$100,244.05 ",$770.46 ,$229.73 ,"$99,473.58 "
248,"$99,473.58 ",$772.23 ,$227.96 ,"$98,701.35 "
249,"$98,701.35 ",$774.00 ,$226.19 ,"$97,927.35 "
250,"$97,927.35 ",$775.77 ,$224.42 ,"$97,151.58 "
251,"$97,151.58 ",$777.55 ,$222.64 ,"$96,374.03 "
252,"$96,374.03 ",$779.33 ,$220.86 ,"$95,594.70 "
253,"$95,594.70 ",$781.12 ,$219.07 ,"$94,813.58 "
254,"$94,813.58 ",$782.91 ,$217.28 ,"$94,030.67 "
255,"$94,030.67 ",$784.70 ,$215.49 ,"$93,245.97 "
256,"$93,245.97 ",$786.50 ,$213.69 ,"$92,459.46 "
257,"$92,459.46 ",$788.30 ,$211.89 ,"$91,671.16 "
258,"$91,671.16 ",$790.11 ,$210.08 ,"$90,881.05 "
